    94
    1   1   3	0   3   5	0   3   5	1   1   1	2	3	0.007
    1   1   3	1   1   1	1   1   3	1   1   1	2	1	0.552
    1   1   3	1   1   1	1   1   3	1   1   1	2	2	-0.288
    1   1   3	1   1   1	0   3   5	0   3   5	2	2	-0.256
    1   1   3	1   1   1	0   3   5	1   1   1	2	2	-0.241
    0   3   5	0   3   5	0   3   5	0   3   5	2	0	-0.86
    0   3   5	0   3   5	0   3   5	0   3   5	2	2	-0.218
    0   3   5	0   3   5	0   3   5	0   3   5	2	4	0.298
    0   3   5	0   3   5	0   3   5	1   1   1	2	2	-0.186
    0   3   5	0   3   5	1   1   1	1   1   1	2	0	-0.392
    0   3   5	1   1   1	0   3   5	1   1   1	2	2	-0.135
    0   3   5	1   1   1	0   3   5	1   1   1	2	3	0.205
    1   1   1	1   1   1	1   1   1	1   1   1	2	0	0.151
